,user,numeros,comentarios,data
995,oseias_sa_,467,467,2023-03-27T09:50:25.000Z
996,gustbelo__,0,"0, porque isso não é confete.",2023-03-27T10:05:21.000Z
997,f.fudse,289,"Bom, como a gente não sabe quanta grama tem um confetes a gente poderia pesar e determinar quanto teria mas com a base e o tamanho acredito que tenha 289",2023-03-27T10:06:14.000Z
998,mav_art01,446,446 🔥,2023-03-27T10:11:12.000Z
999,oerickn,367,367,2023-03-27T10:15:20.000Z
1000,patrickraubach,119,119,2023-03-27T10:15:28.000Z
1001,93fernandoalmeida,322,322,2023-03-27T10:24:33.000Z
1002,fab_canova,670,670,2023-03-27T10:24:55.000Z
1003,alef.souz,505,505,2023-03-27T10:26:31.000Z
1004,93fernandoalmeida,478,478,2023-03-27T10:27:34.000Z
1005,diniz_helbert,300,300,2023-03-27T10:37:48.000Z
1006,cleytonsnunes,329,329,2023-03-27T10:46:12.000Z
1007,eder.m.bks,1,Acho que tem 1 trilhão... vamos ver se a media acerta kkkk.... brinks,2023-03-27T11:05:28.000Z
1008,antoniocostafn,333,333,2023-03-27T11:13:58.000Z
1009,schneider79,456,456,2023-03-27T11:23:17.000Z
1010,alef.moraesoficial,397,397,2023-03-27T11:25:12.000Z
1011,iago_sousa.18,528,528,2023-03-27T11:27:22.000Z
1012,wellzulu,303,",303",2023-03-27T11:37:25.000Z
1013,wellzulu,473,473,2023-03-27T11:38:03.000Z
1014,rascunha,430,430,2023-03-27T11:49:19.000Z
1015,hanzx.gu,627,627,2023-03-27T11:49:49.000Z
1016,brun.amon,323,323,2023-03-27T11:56:27.000Z
1017,chicobinder,525,525,2023-03-27T12:00:54.000Z
1018,daniellucas9638,295,295,2023-03-27T12:01:27.000Z
1019,valentinaalves0412,574,574,2023-03-27T12:14:03.000Z
1020,davi_lcp20,134,134,2023-03-27T12:14:31.000Z
1021,davxvalle,150,150,2023-03-27T12:21:50.000Z
1022,luiz_santana244,120,120,2023-03-27T12:23:33.000Z
1023,mayumaissamu,293,293,2023-03-27T12:29:31.000Z
1024,kazumiwel,1224,1224,2023-03-27T12:33:58.000Z
1025,gustavo.slsm,536,536,2023-03-27T12:43:26.000Z
1026,annalufes,732,732,2023-03-27T12:57:53.000Z
1027,matheusczm,316,316,2023-03-27T12:59:07.000Z
1028,leandroharman,389,389,2023-03-27T13:02:32.000Z
1029,eduardoacp96,594,594,2023-03-27T13:09:13.000Z
1030,bernardobnb,225,225,2023-03-27T13:12:10.000Z
1031,arthur016_3,1000,1000,2023-03-27T13:20:27.000Z
1032,marvulo_o,140,140,2023-03-27T13:20:40.000Z
1033,bruno_felipin,473,473,2023-03-27T13:27:15.000Z
1034,johnyp1n3,360,360,2023-03-27T13:48:56.000Z
1035,daking2k.ofc,203,203,2023-03-27T13:50:16.000Z
1036,mayke.pires.araujo,245,245,2023-03-27T13:50:49.000Z
1037,kauanysalvador,550,550,2023-03-27T14:02:40.000Z
1038,isaaccastro_s,396,396,2023-03-27T14:03:52.000Z
1039,ojerrysc,413,413,2023-03-27T14:20:41.000Z
1040,ronydartoon_10,238,238 senhores,2023-03-27T14:24:58.000Z
1041,correia.james,459,459 confetes,2023-03-27T14:25:18.000Z
1042,fagneralc_,538,538,2023-03-24T23:52:44.000Z
1043,ailton.oliveira.58726823,504,504,2023-03-24T23:55:01.000Z
1044,henriquescartezzini,318,318,2023-03-24T23:55:34.000Z
1045,patrickdenardi,537,537,2023-03-24T23:57:09.000Z
1046,wesleycavalcante__,962,"962, confia 😂",2023-03-24T23:59:49.000Z
1047,toddy_oc,810,tem 810,2023-03-25T00:01:51.000Z
1048,heraclidesneto,682,682,2023-03-25T00:07:17.000Z
1049,ygordemello,564,564,2023-03-25T00:10:17.000Z
1050,afonso.jnr,300,300 confetes,2023-03-25T00:11:33.000Z
1051,fagvndez,411,411,2023-03-25T00:13:41.000Z
1052,philnancas,301,301,2023-03-25T00:15:43.000Z
1053,alberjoy_junior,360,360.,2023-03-25T00:22:03.000Z
1054,mruviaro81,468,468,2023-03-25T00:22:45.000Z
1055,gabrielcambury15,580,@leandro.varos  Calculei por metros³ baseando-me na sua mão e cheguei a 580 confeites será que vai dar bom kkkkkk,2023-03-25T00:24:08.000Z
1056,emanol.xl,239,239,2023-03-25T00:24:15.000Z
1057,thalestotti,864,864 eu contei,2023-03-25T00:27:52.000Z
1058,raqueldisousa,168,168,2023-03-25T00:28:53.000Z
1059,rafael_lembi,545,545,2023-03-25T00:30:34.000Z
1060,allansouzajunior,322,322,2023-03-25T00:37:29.000Z
1061,mylla_magalhaes,657,657,2023-03-25T00:39:29.000Z
1062,alexfavajr,396,396,2023-03-25T00:42:01.000Z
1063,davibatista10c,579,579 manda o pix,2023-03-25T00:43:52.000Z
1064,jessefogaca,3600,3600,2023-03-25T00:44:40.000Z
1065,zxphgqweabv,160,160,2023-03-25T00:45:43.000Z
1066,stylemilita,124,124,2023-03-25T00:46:46.000Z
1067,vinasminardi,379,379,2023-03-25T00:47:48.000Z
1068,luisotaviotristao,472,472,2023-03-25T00:48:32.000Z
1069,wellingtoncdf,689,689 confetes,2023-03-25T00:54:31.000Z
1070,carlosmotapro,389,389,2023-03-25T00:55:01.000Z
1071,fernandonetof,1342,1342,2023-03-25T00:59:25.000Z
1072,biancassia,346,346,2023-03-25T01:04:36.000Z
1073,espanhol._,392,392,2023-03-25T01:10:04.000Z
1074,leonnardo.goncalves,541,541,2023-03-25T01:10:14.000Z
1075,fmiranda75,320,320,2023-03-25T01:11:04.000Z
1076,miguelferraz85,553,"553, porque sim",2023-03-25T01:13:52.000Z
1077,suelygrassine,183,183,2023-03-25T01:14:30.000Z
1078,iago_guira,367,367,2023-03-25T01:17:01.000Z
1079,edilsonborge11,738,738 🙌,2023-03-25T01:18:56.000Z
1080,alexandre_hrc,234,234,2023-03-25T01:20:17.000Z
1081,edison.sts,494,494,2023-03-25T01:21:06.000Z
1082,fabiosalermo,207,207,2023-03-25T01:21:38.000Z
1083,7edsongomes,251,251,2023-03-25T01:22:22.000Z
1084,gabrielfinkler,425,425,2023-03-25T01:27:08.000Z
1085,jrbsjunior,427,427,2023-03-25T01:27:25.000Z
1086,franklim.paiva,1000,1000,2023-03-25T01:27:43.000Z
1087,arturcirne,497,497,2023-03-25T01:32:36.000Z
1088,igorpimentelreis,345,345,2023-03-25T01:35:16.000Z
1089,marcelo_r_almeida,587,587,2023-03-25T01:39:21.000Z
1090,araujozak,612,612,2023-03-25T01:39:59.000Z
1091,koreano.trumpet,540,540,2023-03-25T01:41:28.000Z
1092,rodrigogicquel,650,650 confetes,2023-03-25T01:44:51.000Z
1093,oviniciusvilaca,536,536,2023-03-25T01:51:45.000Z
1094,pedroaraujom,554,554,2023-03-25T01:52:33.000Z
1095,glauciarmiranda,1598,1598,2023-03-25T01:56:37.000Z
1096,lucasmendori,364,364,2023-03-25T01:59:37.000Z
1097,incensar108,1,"N+1, sendo N o número de ignorantes que tentam chutar o número de M&M. No caso do boi , fazendeiros tem uma razoável de quanto um boi de determinado tamanho pesa, então não há víeis. Já aqui precisamos chutar quanto mede esse pote … e calcular a cubagem e depois calcular a cubagem de um mm … da muito trabalho.",2023-03-25T02:08:01.000Z
1098,brunoamaral00,323,323,2023-03-25T02:14:02.000Z
1099,nelsonsaborges,416,416,2023-03-25T02:15:23.000Z
1100,barsidazoeira,333,333,2023-03-25T02:20:02.000Z
1101,thewillhns,1320,1320 unidades,2023-03-25T02:20:36.000Z
1102,nitoteixeira,522,522,2023-03-25T02:20:43.000Z
1103,asernft,540,540,2023-03-25T02:21:21.000Z
1104,danilopuget,678,678,2023-03-25T02:24:22.000Z
1105,jeannhenn,402,402,2023-03-25T02:26:16.000Z
1106,zeblacut,477,477,2023-03-25T02:27:25.000Z
1107,rolfitodopray,521,521 🍷☕ pq sim,2023-03-25T02:29:43.000Z
1108,diogo.dq,398,398,2023-03-25T02:31:13.000Z
1109,renatobastos7,150,150,2023-03-25T02:32:10.000Z
1110,ericosilv,321,321,2023-03-25T02:32:56.000Z
1111,rodrigo_andrews,937,937,2023-03-25T02:42:00.000Z
1112,j.ursulino,416,416,2023-03-25T02:47:55.000Z
1113,paulo_xricardo,489,489,2023-03-25T02:48:08.000Z
1114,jlduartejr,197,197,2023-03-25T02:50:04.000Z
1115,dyenissonrodrigues,395,395 cravado,2023-03-25T02:57:53.000Z
1116,laercio.machado10,598,598,2023-03-25T02:58:25.000Z
1117,maagalhaes_souza,443,443,2023-03-25T03:00:18.000Z
1118,tiago_bernar10,583,583,2023-03-25T03:04:27.000Z
1119,edmarferreiramelo,2500,2500,2023-03-25T03:07:11.000Z
1120,fabianobortolotti,354,354,2023-03-25T03:07:40.000Z
1121,jessevin_,528,528,2023-03-25T03:21:14.000Z
1122,aleph.felipe,960,Tem 960.,2023-03-25T03:22:13.000Z
1123,drjohnnymoraes,250,250,2023-03-25T03:24:26.000Z
1124,drgildivan,1538,1538,2023-03-25T03:26:07.000Z
1125,luissoh,639,639,2023-03-25T03:27:59.000Z
1126,diogomury,235,235,2023-03-25T03:30:21.000Z
1127,wania.bicalho,228,228,2023-03-25T03:37:55.000Z
1128,victorrozendo,422,422,2023-03-25T03:39:40.000Z
1129,yviefernanda,347,347,2023-03-25T03:46:55.000Z
1130,danilobottaro,703,703,2023-03-25T03:57:56.000Z
1131,lurutilae,394,394,2023-03-25T04:02:24.000Z
1132,mudae_01,585,585.,2023-03-25T04:04:58.000Z
1133,ricardocosta.pro,1234,1234,2023-03-25T04:09:27.000Z
1134,zoe_imports_,260,260,2023-03-25T04:19:23.000Z
1135,psjunior7770,400,400,2023-03-25T04:33:40.000Z
1136,tiakimiki,528,528,2023-03-25T04:35:16.000Z
1137,fabricioramos26,612,612,2023-03-25T04:39:31.000Z
1138,legustamarataizes,427,427,2023-03-25T04:40:43.000Z
1139,juneca72,834,834,2023-03-25T04:44:57.000Z
1140,binhatrix,349,349,2023-03-25T04:53:02.000Z
1141,eduardo.ig11,666,666,2023-03-25T05:14:55.000Z
1142,victorhu_27,127,127 cravado,2023-03-25T05:17:03.000Z
1143,tpforner_pro,400,400,2023-03-25T05:43:09.000Z
1144,bruno_bovo,417,417,2023-03-25T06:03:30.000Z
1145,william.brunhago,650,650,2023-03-25T06:12:02.000Z
1146,_badboo__,240,240,2023-03-25T06:32:00.000Z
1147,robertrodriguescortes,333,333,2023-03-25T07:03:59.000Z
1148,chrystianvasconcelos,97,97,2023-03-25T07:13:05.000Z
1149,leandrocmuniz,400,400,2023-03-25T07:24:31.000Z
1150,brunusena,396,396,2023-03-25T07:30:22.000Z
1151,alineshimizo.nutri.no.japao,560,560 ☺️,2023-03-25T07:46:44.000Z
1152,drheliobarros,735,735,2023-03-25T07:51:26.000Z
1153,francopassuello,500,500,2023-03-25T08:21:07.000Z
1154,halissonader,183,183,2023-03-25T08:59:47.000Z
1155,instagramdoedson,814,814,2023-03-25T08:59:52.000Z
1156,leandrozenobio,498,498,2023-03-25T09:22:03.000Z
1157,kalungadh,678,678,2023-03-25T09:34:44.000Z
1158,giobpalmieri,286,286,2023-03-25T09:51:51.000Z
1159,francopedrosa,230,230,2023-03-25T10:03:23.000Z
1160,dirleigeraldo,394,394 M&M's,2023-03-25T10:07:36.000Z
1161,queirosgui,432,432,2023-03-25T10:11:39.000Z
1162,juniorsantosp,726,726 confetes,2023-03-25T10:18:29.000Z
1163,oe.yuri,500,500,2023-03-25T10:26:48.000Z
1164,o.thell,232,232,2023-03-25T10:28:13.000Z
1165,jviniis,484,484,2023-03-25T10:34:35.000Z
1166,eu.gabrielas.ferreira,550,550,2023-03-25T10:48:24.000Z
1167,hemerson_rodr,280,Meu chute é 280,2023-03-25T10:52:01.000Z
1168,wesley.rodrigues.pontes,540,540 unidades,2023-03-25T11:07:08.000Z
1169,bcorredato,1000,1000,2023-03-25T11:17:45.000Z
1170,ricardowolfjunior,504,504,2023-03-25T11:20:44.000Z
1171,eliassamayoff,530,530,2023-03-25T11:22:14.000Z
1172,paulohsantanas,449,449,2023-03-25T11:30:41.000Z
1173,felipe_vendrametto,231,231,2023-03-25T11:35:31.000Z
1174,clai.verdias,233,233,2023-03-25T11:35:50.000Z
1175,leandro_blv,260,260,2023-03-25T11:36:46.000Z
1176,netolopes07,350,350,2023-03-25T11:39:12.000Z
1177,talysonfurtado,360,360 M&M's 👀,2023-03-25T11:43:10.000Z
1178,francelinok,5,Certeza tem mais que 5,2023-03-25T11:48:24.000Z
1179,bscaffo,393,393,2023-03-25T11:51:16.000Z
1180,p.ycaroav,101,101 m&m's,2023-03-25T11:53:48.000Z
1181,nataelarievilo,683,683...,2023-03-25T12:03:49.000Z
1182,vnsvnt2021,457,Poxa era até ontem 😢 Mas eu chutaria 457,2023-03-25T12:07:13.000Z
1183,andrewmorocwb,399,399,2023-03-25T12:08:17.000Z
1184,andrewmorocwb,429,429,2023-03-25T12:08:28.000Z
1185,deyvi_stecker,432,432,2023-03-25T12:08:36.000Z
1186,adonniasmelo,426,426,2023-03-25T12:12:12.000Z
1187,valdeck_dos_santos,870,870,2023-03-25T12:19:46.000Z
1188,dr.deandrade,323,323,2023-03-25T12:22:14.000Z
1189,lucianacristinagoncalves,436,436 confetes,2023-03-25T12:36:54.000Z
1190,raquel_rdsl,395,395,2023-03-25T12:37:27.000Z
1191,pkkings,392,392 😂,2023-03-25T12:38:09.000Z
1192,matheus_pereira_010,142,142,2023-03-25T12:41:45.000Z
1193,thaless_bomfim,420,420,2023-03-25T12:42:03.000Z
1194,kathleen.florentino,629,629,2023-03-25T12:53:37.000Z
1195,o_cara_do_cartorio__,25,EU VENDO O VÍDEO NO DIA 25.😂😂😂,2023-03-25T12:54:06.000Z
1196,arthurmferrari,367,367,2023-03-25T12:59:10.000Z
1197,robsonetur,446,446,2023-03-25T13:04:48.000Z
1198,czertok,320,320,2023-03-25T13:05:05.000Z
1199,raphaelnasciment,637,637,2023-03-25T13:06:37.000Z
1200,cleversonsantanaa,520,520,2023-03-25T13:07:44.000Z
1201,ronaldreinlein19,657,657,2023-03-25T13:10:48.000Z
1202,felipe_oliveiraaks,462,462,2023-03-25T13:10:51.000Z
1203,eduardomcabreira,399,399 🔥,2023-03-25T13:15:19.000Z
1204,pedrinhohdlpk,457,457,2023-03-25T13:15:55.000Z
1205,iamrany_,330,330,2023-03-25T13:16:22.000Z
1206,douglasgamrj,418,418,2023-03-25T13:18:13.000Z
1207,l.graciano_,274,274,2023-03-25T13:20:42.000Z
1208,wy_vieira,472,472 ♈️,2023-03-25T13:28:11.000Z
1209,lucasstar3507,524,"524,confia",2023-03-25T13:32:27.000Z
1210,kaua_vt122,210,210,2023-03-25T13:33:53.000Z
1211,lrfernandes_,1136,1136,2023-03-25T13:34:25.000Z
1212,henrique_dipaulla,1,Pode oferecer 1 milhão,2023-03-25T13:39:10.000Z
1213,henrique_dipaulla,100,100 conto é piada.,2023-03-25T13:39:20.000Z
1214,xpxande,361,361,2023-03-25T13:42:40.000Z
1215,carlosedegard,297,297,2023-03-25T13:42:48.000Z
1216,claudinei.c.cardozo,398,398,2023-03-25T13:44:24.000Z
1217,mtorres.0111,420,420,2023-03-25T13:45:24.000Z
1218,gabrielhcv_,540,540,2023-03-25T13:51:06.000Z
1219,hyrum.srur,454,454,2023-03-25T13:56:24.000Z
1220,venturimdu,531,531,2023-03-25T13:57:18.000Z
1221,eulucas_pereira,450,450,2023-03-25T14:06:20.000Z
1222,euprisma11,200,200,2023-03-25T14:06:22.000Z
1223,cleudosilva_sc,540,540,2023-03-25T14:12:29.000Z
1224,maverleo,477,477,2023-03-25T14:16:51.000Z
1225,gpoloski,188,188 mano,2023-03-25T14:39:50.000Z
1226,bernardes_emerson,250,250,2023-03-25T14:39:55.000Z
1227,leafar_nogueira,467,467,2023-03-25T14:40:38.000Z
1228,esmiderfrancajr,562,562,2023-03-25T14:40:59.000Z
1229,l.souzaf,348,348,2023-03-25T14:42:49.000Z
1230,rebecaf.costa,486,486,2023-03-25T14:43:18.000Z
1231,aarrudaolivei12,348,348,2023-03-25T14:47:54.000Z
1232,guilherme_falcao__,155,155,2023-03-25T14:51:23.000Z
1233,paulocadilhe,605,605,2023-03-25T14:53:45.000Z
1234,_lzinn_._,459,459,2023-03-25T14:54:13.000Z
1235,lucastrobjj,603,603,2023-03-25T14:55:05.000Z
1236,rafael29zanolin,350,350,2023-03-25T14:55:43.000Z
1237,negraoinvestidor,426,426,2023-03-25T14:56:08.000Z
1238,breno.vitor.315,1038,1038,2023-03-25T15:00:13.000Z
1239,eng_evandroferreira,103,103🙌,2023-03-25T15:07:00.000Z
1240,fleaobernes,300,300,2023-03-25T15:13:05.000Z
1241,o.joaohls,2000,2000 confetes,2023-03-25T15:14:50.000Z
1242,carlos_alex_santanna,737,737,2023-03-25T15:17:07.000Z
1243,katia_dinizp,565,565,2023-03-25T15:17:30.000Z
1244,lapaada,404,404,2023-03-25T15:21:44.000Z
1245,rhuanderickdeoliveira,419,419,2023-03-25T15:28:19.000Z
1246,bielphx,540,540 confetes,2023-03-25T15:29:09.000Z
1247,barretosostenes,462,TEM EXATAMENTE 462.,2023-03-25T15:31:26.000Z
1248,medeirosdavi_1,280,280,2023-03-25T15:40:37.000Z
1249,vanesson_santos,472,@leandro.varos 472 🔥,2023-03-25T15:43:05.000Z
1250,paulobomfim,100,"Rapaz, 100 reais? Crise chegou mesmo? 😂",2023-03-25T15:48:31.000Z
1251,iago_azevedo,365,365,2023-03-25T16:00:16.000Z
1252,thiagocontibr,264,264 confetes.,2023-03-25T16:01:23.000Z
1253,br.moses,637,"Tem 637 , envia nesse pix mendesfender@hotmail.com",2023-03-25T16:01:31.000Z
1254,dorneles.guilherme,499,499,2023-03-25T16:04:03.000Z
1255,rodrigomnghtt,532,532,2023-03-25T16:07:31.000Z
1256,marssaab,400,Tem 400,2023-03-25T16:10:57.000Z
1257,ronaldodix876,571,571,2023-03-25T16:13:18.000Z
1258,marssaab,401,401,2023-03-25T16:13:32.000Z
1259,marcelocasper,257,257,2023-03-25T16:15:52.000Z
1260,gui_filenga,336,tem 336,2023-03-25T16:16:47.000Z
1261,rmanzoli10,387,387,2023-03-25T16:19:23.000Z
1262,jeanbarret0,443,443,2023-03-25T16:39:23.000Z
1263,dan.castro1910,839,839,2023-03-25T16:39:28.000Z
1264,_carlos_grifo,473,473,2023-03-25T16:39:39.000Z
1265,eupedrocarvalh0,100,100,2023-03-25T16:43:53.000Z
1266,gian.sebastiany,285,285,2023-03-25T16:46:43.000Z
1267,reinaldosilvestredossantos,124,124,2023-03-25T16:48:39.000Z
1268,linkostalker,540,540,2023-03-25T16:52:13.000Z
1269,vinipandini_,492,492,2023-03-25T16:55:12.000Z
1270,jpbragasouza,639,639 unidades,2023-03-25T16:56:02.000Z
1271,igor_rsl,360,360,2023-03-25T16:56:24.000Z
1272,harrisonandrade50,545,545,2023-03-25T17:06:31.000Z
1273,diegolarsolar,1500,1500,2023-03-25T17:09:04.000Z
1274,rodrigoschwartz_f,387,387,2023-03-25T17:09:44.000Z
1275,pedro_henrique.lr,3,Tem mais que 3,2023-03-25T17:16:54.000Z
1276,rgstrauch,574,574,2023-03-25T17:17:45.000Z
1277,alexandre_0s,360,360 vamos lá,2023-03-25T17:18:29.000Z
1278,diogolima.10,101,101,2023-03-25T17:24:44.000Z
1279,mateuscuevas,353,353,2023-03-25T17:34:51.000Z
1280,igorgrau065,84,84,2023-03-25T17:35:10.000Z
1281,gmsayuki,230,230,2023-03-25T17:35:54.000Z
1282,juan_pereira29,400,400,2023-03-25T17:38:04.000Z
1283,rodrissan,514,514 unidades de confetes,2023-03-25T17:42:48.000Z
1284,pckovalski,617,617,2023-03-25T17:43:31.000Z
1285,denis_dec,408,408 confetes,2023-03-25T17:43:32.000Z
1286,j_covre,2000,2000,2023-03-25T17:44:26.000Z
1287,kayo.henriquevs,600,"Tem pelo menos 600, ent meu chute é esse",2023-03-25T17:56:11.000Z
1288,duduhxzz,211,211,2023-03-25T17:56:17.000Z
1289,almeida_9122,589,589 confetes,2023-03-25T18:01:15.000Z
1290,4064andre,527,527,2023-03-25T18:06:01.000Z
1291,leonardobigatto,540,540,2023-03-25T18:07:25.000Z
1292,anderluca,456,456,2023-03-25T18:10:11.000Z
1293,gibsondeoliveira,487,487.,2023-03-25T18:10:52.000Z
1294,eumarcelobjj,725,725,2023-03-25T18:13:14.000Z
1295,albjr27,450,450,2023-03-25T18:16:22.000Z
1296,pedrofortes.c,450,450,2023-03-25T18:20:17.000Z
1297,liguori_,468,468,2023-03-25T18:24:15.000Z
1298,alex_araldi,493,493,2023-03-25T18:24:55.000Z
1299,mal.de.muniz,376,376,2023-03-25T18:27:30.000Z
1300,pedro_cavalca,805,805,2023-03-25T18:36:27.000Z
1301,mr.vini_cs,662,662 M&M's 🙌🏼,2023-03-25T18:41:18.000Z
1302,thyagomoreira55,250,Tem 250,2023-03-25T18:45:35.000Z
1303,bruno_chaib,512,512,2023-03-25T18:49:09.000Z
1304,arthur.d.avila,296,296,2023-03-25T18:49:14.000Z
1305,jeferson_stein,540,540,2023-03-25T18:52:14.000Z
1306,alimohkan,637,637,2023-03-25T18:53:36.000Z
1307,igoraraujo1904,420,420,2023-03-25T18:54:51.000Z
1308,rafaelcosta_arc,323,Pela media dos comentários 323,2023-03-25T18:57:31.000Z
1309,jrrodrigueseven,301,301,2023-03-25T19:00:43.000Z
1310,wagnercamargo.treinamentos,350,350,2023-03-25T19:01:07.000Z
1311,janainasilvaraposo,415,415,2023-03-25T19:02:52.000Z
1312,jonasnet0,470,470,2023-03-25T19:06:31.000Z
1313,jonasnet0,490,490,2023-03-25T19:06:34.000Z
1314,jonasnet0,480,480,2023-03-25T19:06:38.000Z
1315,renatobelloofc,618,618 unidades,2023-03-25T19:06:48.000Z
1316,eu.eduardolima,500,500,2023-03-25T19:08:56.000Z
1317,douglascamposdcb,350,350,2023-03-25T19:10:28.000Z
1318,cayoxavierr,573,573,2023-03-25T19:17:01.000Z
1319,rotadosoloficial,2334,2334,2023-03-25T19:32:53.000Z
1320,luizeduardoduarte_,200,200,2023-03-25T19:33:25.000Z
1321,flickreis,307,307,2023-03-25T19:36:11.000Z
1322,flickreis,307,307,2023-03-25T19:36:22.000Z
1323,jaofonte,162,162,2023-03-25T19:38:25.000Z
1324,renankoto,416,416,2023-03-25T19:39:34.000Z
1325,ramonravell,460,460,2023-03-25T19:40:09.000Z
1326,marcosvinicios_miranda,349,349,2023-03-25T19:42:04.000Z
1327,big_wesk,540,540🙌,2023-03-25T19:52:53.000Z
1328,rcmferreira,200,200,2023-03-25T19:58:58.000Z
1329,reginahelenamiranda,420,420,2023-03-25T20:06:26.000Z
1330,andersoncruz007,380,380,2023-03-25T20:09:22.000Z
1331,waagner91,560,560,2023-03-25T20:14:57.000Z
1332,rangelmdrs,581,581,2023-03-25T20:15:21.000Z
1333,anderson_sousa_negao,540,540,2023-03-25T20:24:44.000Z
1334,hutison_silva,833,833,2023-03-25T20:26:06.000Z
1335,kathleenmansurb,537,537 ?? Confia 👏,2023-03-25T20:29:21.000Z
1336,marcellojim,187,187,2023-03-25T20:29:39.000Z
1337,sostenes.valente,700,700,2023-03-25T20:29:43.000Z
1338,jean.mariano.332345,319,Tem 319,2023-03-25T20:33:10.000Z
1339,wilson.sandler.ribeiro,157,157,2023-03-25T20:35:41.000Z
1340,font.matheus,320,320,2023-03-25T20:36:03.000Z
1341,fagner_godoy,350,350,2023-03-25T20:36:05.000Z
1342,willian.198,457,457,2023-03-25T20:37:10.000Z
1343,gabrielly24574,545,545,2023-03-25T20:45:05.000Z
1344,maycondrougras,395,395,2023-03-25T20:45:48.000Z
1345,brenosousaa10,556,556,2023-03-25T20:48:55.000Z
1346,dacostalmeida_d,185,185,2023-03-25T20:50:47.000Z
1347,rennanlmelo,256,256,2023-03-25T20:52:19.000Z
1348,alexandremansur,532,532 😂,2023-03-25T20:52:33.000Z
1349,eusoumartin,357,"Tarde, mas 357",2023-03-25T20:52:40.000Z
1350,thoozeeraa,500,500,2023-03-25T20:52:42.000Z
1351,guilhermegreik,739,739 confetes 🎊,2023-03-25T20:53:45.000Z
1352,moisesbragaa,450,450,2023-03-25T20:57:48.000Z
1353,rafaeduuuu,324,324,2023-03-25T20:58:10.000Z
1354,joseaugustodelimacacian,2347,2347,2023-03-25T21:01:58.000Z
1355,felipebarbarie,540,540 confetes,2023-03-25T21:02:45.000Z
1356,claudiane_baptista,555,555,2023-03-25T21:07:34.000Z
1357,cassiagrigoletto,625,625,2023-03-25T21:10:05.000Z
1358,armandmarcelchd,424,424,2023-03-25T21:10:42.000Z
1359,renatoperroni,396,396,2023-03-25T21:14:55.000Z
1360,alef_gom_es,1274,1274,2023-03-25T21:16:38.000Z
1361,joas_cast,354,354,2023-03-25T21:27:43.000Z
1362,ferlifex,360,360,2023-03-25T21:32:24.000Z
1363,birkeinvest,217,217 confetes,2023-03-25T21:33:02.000Z
1364,bielsallesofc,679,679,2023-03-25T21:33:43.000Z
1365,_4bnr,622,622,2023-03-25T21:34:28.000Z
1366,alexandre_silva_alexan,5000,5000,2023-03-25T21:44:52.000Z
1367,manini.vitor,538,538,2023-03-25T21:45:29.000Z
1368,manini.vitor,671,671,2023-03-25T21:45:49.000Z
1369,manini.vitor,573,573,2023-03-25T21:45:54.000Z
1370,cesarfarias21,427,427,2023-03-25T21:46:55.000Z
1371,adripaggi,637,637,2023-03-25T21:49:29.000Z
1372,adripaggi,535,535,2023-03-25T21:49:34.000Z
1373,adripaggi,423,423,2023-03-25T21:49:36.000Z
1374,adripaggi,235,235,2023-03-25T21:50:07.000Z
1375,isabellalorenzzon,1500,1500,2023-03-25T21:54:48.000Z
1376,joaovictorpc,506,506,2023-03-25T22:05:54.000Z
1377,brunofrassetto,533,Eu somei todos os chutes e dividi... A resposta deu 533,2023-03-25T22:10:04.000Z
1378,cristianocasm,263,263,2023-03-25T22:10:11.000Z
1379,enio.nobre_,482,482,2023-03-25T22:11:32.000Z
1380,___toniolo___,538,538,2023-03-25T22:18:49.000Z
1381,elisan.br,1999,1999,2023-03-25T22:19:44.000Z
1382,advogadodariopujol,425,425,2023-03-25T22:27:28.000Z
1383,pedrotdb,314,314,2023-03-25T22:28:06.000Z
1384,jesselucaa,384,384,2023-03-25T22:29:00.000Z
1385,marlonmandel,210,210,2023-03-25T22:29:02.000Z
1386,tulio.gonzzaga,747,747,2023-03-25T22:31:09.000Z
1387,carlos_cordeiro97,643,643,2023-03-25T22:31:38.000Z
1388,robson.luizribeiro,325,325,2023-03-25T22:33:26.000Z
1389,wallace.henriqueee,365,365,2023-03-25T22:39:11.000Z
1390,agnesleaa,523,523,2023-03-25T22:39:49.000Z
1391,felipebertholi,450,450,2023-03-25T22:45:16.000Z
1392,jhonashollerbach,538,538,2023-03-25T22:46:45.000Z
1393,vagnergarciadasilva,2,2,2023-03-25T22:56:45.000Z
1394,diogohiroyuki,468,468 🔥,2023-03-25T23:02:47.000Z
1395,maalexandresouza88,740,740,2023-03-25T23:05:54.000Z
1396,gustavotpcamposs,431,431,2023-03-25T23:09:36.000Z
1397,ocassiosm,337,Tem 337 confetes,2023-03-25T23:15:19.000Z
1398,rovsfrossard,387,387,2023-03-25T23:16:35.000Z
1399,filipe.r.santos,572,Já passou mas contando tem aproximadamente 572,2023-03-25T23:18:31.000Z
1400,zek_haru,327,327,2023-03-25T23:22:44.000Z
1401,robertovieira131,1328,1328,2023-03-25T23:25:59.000Z
1402,quirino.oficial,823,823,2023-03-25T23:31:57.000Z
1403,robsoncesareng,420,420,2023-03-25T23:34:59.000Z
1404,rafaelscodro,503,503,2023-03-25T23:36:25.000Z
1405,lahlopesf,476,476,2023-03-25T23:39:31.000Z
1406,vitor____sa,470,470,2023-03-25T23:40:59.000Z
